Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Southern Company,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,21.41,4.17,0.14%,1.10B,-1.17%,98.15B,19.51,4.58,-6.13%,1.10B,-1.68%,169.32B,3.27,0.98,68.91%,1.87%,-0.74%,4.61B,3.52,5.62%,1.34%,4.07,9.06%,27.85B,2.90,6.98%,3.20%,20.56M,8.48%,30.79,42.09,6.55%,14.01%,76.96,94.45,14.96%,2.12,-,21.25% -2.34%,4.70%,-5.45%,33.72%,2.95 (3.31%),13.41,4.78% 4.75%,31.60%,16.03%,58.28%,2.90 (3.25%),6.08,8.02%,25.90%,1.02%,0.90%,111.11%,"May 19, 2025",0.64,9.58%,16.54%,50.27,2.43,2.96% 3.06%,0.86,17.61%,0.16%,0.37,95.59,71.61%,2.07,16.99%,-0.44%,2.11,88.63,28600,1.90,May 01 BMO,1.36%,5.05M,89.30,"Sep 30, 1949",Yes / Yes,2.39% 8.68%,"

","10,665,153",0.76%,SO
Sanofi ADR,Healthcare,Drug Manufacturers - General,France,NASD,-,19.99,2.39,0.02%,2.61B,-5.84%,116.61B,9.51,5.03,0.00%,2.44B,-9.51%,127.69B,1.52,0.93,10.73%,0.19%,-17.18%,6.02B,2.62,24.24%,-1.14%,1.71,4.29%,44.44B,1.50,9.03%,4.29%,4.56M,-0.77%,32.01,14.90,13.18%,7.34%,45.80,60.12,1.21%,3.21,14.66,-6.46% 13.05%,6.39%,-20.39%,-2.57%,2.36 (4.93%),8.99,-0.15% 1.91%,63.49%,4.50%,-4.89%,2.21 (4.62%),2.87,2.96%,23.14%,1.24%,1.72%,-4.91%,"May 09, 2025",0.73,-4.57%,13.54%,36.40,1.69,8.29% 6.46%,1.08,-,-4.44%,0.48,65.41,66.53%,0.23,-,-6.65%,2.08,47.62,84587,0.17,Apr 24 BMO,-9.12%,2.67M,47.86,"Jul 01, 2002",Yes / Yes,3.11% 3.35%,"

","5,556,761",0.50%,SNY
TD Synnex Corp,Technology,Electronics & Computer Distribution,USA,NYSE,-,15.54,8.00,6.43%,83.22M,-1.34%,10.44B,9.29,13.39,-2.01%,78.52M,0.19%,14.23B,1.66,2.72,90.51%,4.31%,-4.01%,678.34M,0.18,1.06%,1.77%,3.60,-0.27%,59.01B,1.29,13.47%,2.40%,3.39M,6.06%,96.74,19.27,9.39%,8.40%,92.23,145.10,-5.27%,6.46,-,8.44% -3.97%,5.75%,-14.27%,30.72%,1.77 (1.43%),8.90,22.74% 19.73%,5.97%,34.87%,148.60%,1.68 (1.35%),0.24,19.44%,2.02%,1.02%,1.40%,202.03%,"Apr 11, 2025",0.74,4.62%,1.15%,54.96,1.42,25.99% 1.30%,1.27,2.17%,0.59%,1.29,134.50,20.12%,0.54,3.98%,5.99%,1.36,124.64,23000,0.46,Jun 24 BMO,1.72%,941.16K,124.39,"Nov 25, 2003",Yes / Yes,-3.65% -1.74%,"

","1,280,938",-0.20%,SNX
Synovus Financial Corp,Financial,Banks - Regional,USA,NYSE,-,13.68,3.56,0.73%,139.21M,0.43%,6.78B,8.99,5.42,0.00%,138.00M,-0.25%,-,1.42,1.24,87.11%,3.20%,3.09%,508.43M,1.98,14.89%,-0.40%,3.14,-10.94%,3.42B,1.40,6.53%,0.92%,4.42M,-4.82%,34.86,-,9.63%,10.63%,35.94,59.92,30.86%,-,8.44,-14.78% -2.64%,6.79%,-18.62%,33.01%,1.56 (3.20%),-,17.77% 7.51%,-,35.67%,118.85%,1.54 (3.16%),-,22.50%,19.88%,1.20%,1.56%,59.45%,"Jun 18, 2025",-,-1.56%,14.88%,55.97,1.85,4.81% 4.84%,0.19,66.02%,1.48%,1.20,54.79,50.14%,0.40,-1.56%,6.19%,1.75,47.92,4775,0.39,Jul 16 AMC,-0.89%,1.40M,48.76,"Nov 01, 1982",Yes / Yes,16.13% 0.60%,"

","2,460,257",1.75%,SNV
"Synopsys, Inc",Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",33.88,13.89,0.70%,155.15M,-4.94%,73.01B,27.97,16.82,-6.51%,154.07M,-8.74%,69.48B,2.40,3.85,91.02%,3.05%,4.56%,2.17B,11.75,14.71%,3.35%,3.52,-9.88%,6.21B,7.36,11.11%,7.77%,4.70M,-3.06%,63.91,5.12,14.12%,15.82%,365.74,624.80,-23.21%,91.95,67.26,44.46% 33.29%,10.56%,-24.69%,59.42%,-,40.15,13.40% 12.76%,76.65%,28.65%,155.65%,-,11.18,50.17%,22.71%,0.42%,2.74%,836.01%,-,6.85,0.30%,34.88%,44.21,1.35,- -,7.02,19.32%,-2.41%,1.11,594.61,0.00%,1.08,10.12%,0.13%,1.13,473.62,20000,1.07,May 28 AMC,-4.37%,1.34M,470.53,"Feb 26, 1992",Yes / Yes,8.11% 0.26%,"

","1,510,064",-0.65%,SNPS
Snowflake Inc,Technology,Software - Application,USA,NYSE,-,-,-4.21,4.88%,333.64M,0.34%,70.73B,135.87,1.56,-8.71%,317.38M,15.92%,69.52B,-,0.27,66.30%,3.15%,34.86%,-1398.74M,18.42,32.77%,4.84%,2.05,22.91%,3.84B,29.37,41.58%,-18.10%,10.00M,37.29%,7.22,18.09,39.00%,-40.16%,107.13,214.83,62.23%,11.72,93.32,-19.50% -25.13%,-27.65%,-1.32%,86.17%,-,-,43.81% 68.78%,65.16%,97.88%,-,-,18.10,-49.96%,-37.70%,0.57%,3.02%,-,-,1.54,27.50%,-36.43%,70.55,1.57,- -,1.54,-36.07%,1.88%,1.21,230.62,-,1.12,25.75%,17.19%,0.87,212.08,7834,1.10,May 21 AMC,35.39%,4.88M,211.99,"Sep 16, 2020",Yes / Yes,12.99% 3.56%,"

","4,230,158",-0.04%,SNOW
Smith & Nephew plc ADR,Healthcare,Medical Devices,United Kingdom,NYSE,-,30.80,0.94,0.10%,437.52M,-4.25%,12.61B,13.15,2.19,0.00%,437.07M,-1.97%,15.32B,2.52,-,7.20%,0.67%,1.30%,410.01M,2.18,14.90%,0.06%,3.37,13.86%,5.78B,2.39,13.19%,4.03%,2.91M,17.29%,12.05,20.38,12.24%,7.82%,23.69,31.72,15.09%,1.41,21.03,-7.56% -7.22%,4.81%,-9.11%,2.85%,0.80 (2.77%),10.22,3.69% 2.49%,69.64%,21.70%,-30.61%,0.75 (2.60%),2.65,55.99%,14.83%,1.35%,1.29%,-15.53%,"Mar 28, 2025",1.33,4.58%,7.09%,47.47,2.05,-0.46% -0.28%,2.89,116.64%,-1.50%,0.71,32.95,76.28%,0.63,5.74%,2.40%,1.73,28.58,18456,0.62,Feb 25 BMO,5.03%,862.72K,28.83,"Nov 16, 1999",Yes / Yes,1.92% 0.70%,"

","1,490,295",0.87%,SNN
StoneX Group Inc,Financial,Capital Markets,USA,NASD,RUT,14.35,5.90,20.63%,48.77M,-0.56%,4.14B,14.45,5.86,-2.29%,38.82M,-3.94%,15.06B,3.33,1.41,81.28%,2.51%,7.63%,285.80M,0.03,8.29%,3.22%,2.48,28.89%,123.04B,2.19,0.64%,1.00%,0.98M,29.64%,38.59,3.17,4.31%,16.69%,47.33,97.17,76.86%,26.73,-,27.70% 22.11%,9.63%,-12.86%,159.83%,-,8.40,32.92% 24.88%,2.55%,78.88%,268.20%,-,0.12,19.42%,1.39%,1.30%,1.30%,420.23%,-,0.70,67.71%,0.23%,47.71,1.00,- -,0.73,30.08%,-0.42%,0.53,102.00,0.00%,6.50,66.88%,-0.83%,1.87,85.67,4556,0.58,May 07 AMC,18.06%,393.03K,84.67,"Mar 06, 1995",Yes / Yes,6.82% 5.37%,"

","734,506",-1.17%,SNEX
Schneider National Inc,Industrials,Trucking,USA,NYSE,-,33.46,0.71,70.60%,92.17M,-3.11%,4.15B,17.12,1.38,-0.01%,51.52M,-2.03%,4.57B,0.79,0.20,32.23%,10.10%,2.33%,124.60M,0.77,21.71%,-1.79%,6.75,-23.61%,5.37B,1.39,64.76%,2.61%,5.21M,-19.09%,17.06,26.90,42.15%,4.20%,20.59,33.90,8.42%,0.88,30.95,-33.67% -4.33%,3.51%,-30.12%,4.41%,0.38 (1.59%),7.58,-1.93% 2.19%,5.67%,15.06%,13.68%,0.38 (1.60%),0.85,-20.76%,3.33%,1.20%,1.32%,-,"Jun 13, 2025",1.74,-0.30%,2.32%,48.53,2.25,10.72% 9.63%,1.90,41.51%,-0.60%,1.11,26.31,57.19%,0.19,6.28%,1.88%,1.32,23.92,19400,0.19,May 01 BMO,-11.90%,771.82K,23.69,"Apr 06, 2017",Yes / Yes,15.19% -0.57%,"

","1,017,951",-0.96%,SNDR
Sandisk Corp,Technology,Computer Hardware,USA,NASD,-,-,-,5.80%,145.00M,12.78%,6.77B,-,-,0.00%,136.87M,15.93%,7.43B,-,-,75.37%,4.70%,-17.13%,-,-,-,95.59%,1.98,-,-,0.74,-,-,6.43M,29.39%,63.18,4.49,-,-,27.89,58.36,-,10.37,-,- -,-,-20.19%,-,-,-,- -,-,67.04%,-,-,-,-,-,2.93%,2.74%,-,"Jul 30, 2015",2.13,-,-,71.01,1.86,- -,3.70,-,14.85%,-,53.55,-,0.24,-,25.10%,1.45,46.62,-,0.23,May 07 AMC,11.41%,3.25M,46.58,"Feb 13, 2025",Yes / Yes,- -,"

","4,716,452",-0.09%,SNDK
Snap Inc,Communication Services,Internet Content & Information,USA,NYSE,-,-,-0.32,35.80%,1.43B,-3.49%,13.39B,-,-0.32,-0.53%,1.07B,-6.10%,14.39B,-,-0.16,53.82%,9.40%,-13.22%,-532.35M,2.42,3.37%,5.88%,2.71,-29.37%,5.53B,5.85,21.25%,-7.22%,100.81M,-25.63%,1.37,4.17,32.10%,-23.97%,7.08,17.33,-49.43%,1.92,45.35,-10.35% 10.96%,-8.24%,-53.78%,-32.75%,-,-,9.20% 25.60%,51.40%,13.14%,-61.40%,-,2.60,59.90%,-11.72%,2.90%,2.23%,-,-,4.30,14.91%,-9.63%,43.35,2.82,- -,4.30,55.56%,-3.45%,0.58,9.46,-,1.82,14.10%,-3.74%,0.74,8.23,4911,1.80,Apr 29 AMC,-20.08%,37.18M,8.01,"Mar 02, 2017",Yes / Yes,39.94% 1.33%,"

","27,357,319",-2.67%,SNAP
"Snap-on, Inc",Industrials,Tools & Accessories,USA,NYSE,S&P 500,16.00,19.11,2.18%,52.29M,-4.20%,15.99B,15.30,19.99,-5.46%,51.15M,-6.41%,15.88B,3.91,4.63,95.87%,5.20%,-7.30%,1.02B,3.15,-4.78%,2.84%,6.60,-13.17%,5.07B,2.90,7.60%,12.98%,2.66M,-9.92%,105.58,11.14,4.09%,19.15%,252.98,373.89,14.00%,27.44,14.77,9.36% 9.48%,15.06%,-18.22%,48.75%,8.69 (2.84%),11.29,3.54% 4.66%,52.05%,20.88%,125.74%,8.28 (2.71%),3.13,0.04%,25.81%,0.98%,1.12%,94.93%,"May 20, 2025",3.18,-0.88%,20.14%,35.67,2.75,14.74% 14.46%,4.14,-8.06%,-3.73%,0.77,337.50,39.57%,0.24,-3.02%,-3.99%,2.33,306.82,13000,0.23,Apr 17 BMO,-6.60%,402.88K,305.79,"Feb 27, 1978",Yes / Yes,-6.29% -4.55%,"

","937,055",-0.34%,SNA
SharkNinja Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,NYSE,-,28.76,3.16,45.28%,141.04M,3.26%,12.74B,15.79,5.75,0.00%,76.80M,-9.73%,13.45B,1.96,0.76,48.52%,5.19%,1.57%,446.93M,2.24,14.89%,-3.45%,1.96,-10.68%,5.69B,6.28,14.50%,11.78%,3.99M,-6.74%,14.45,56.71,14.68%,24.75%,60.50,123.00,13.64%,1.60,63.63,9.28% 7.20%,15.37%,-26.18%,-,-,17.14,14.05% 19.04%,47.73%,50.08%,-,-,2.37,134.09%,11.56%,3.25%,2.84%,-,"Nov 30, 2023",1.17,27.33%,7.86%,52.62,1.15,- -,1.97,6.39%,0.87%,1.71,122.60,0.00%,0.46,14.67%,4.54%,0.81,89.16,3688,0.43,May 08 BMO,-6.75%,2.03M,90.80,"Jul 31, 2023",Yes / Yes,18.54% 4.65%,"

","1,652,599",1.84%,SN
Semtech Corp,Technology,Semiconductors,USA,NASD,RUT,-,-2.06,1.19%,86.62M,-0.02%,3.63B,19.53,2.14,-4.56%,85.60M,6.43%,4.03B,-,0.40,112.18%,8.34%,3.05%,-119.44M,3.80,88.66%,1.07%,3.05,-38.66%,954.24M,6.38,29.20%,-8.51%,7.14M,-32.29%,6.57,21.45,49.57%,-93.41%,24.05,79.52,36.20%,1.95,46.98,- -,-10.56%,-47.34%,-26.72%,-,27.95,7.07% 10.68%,51.09%,74.14%,-17.69%,-,4.22,88.14%,9.97%,2.97%,3.58%,99.52%,"Sep 05, 1980",1.81,13.83%,-12.52%,61.06,1.43,- -,2.53,160.17%,6.74%,1.89,55.50,-,1.00,21.81%,19.13%,0.92,41.91,1838,0.99,May 27 AMC,-8.43%,2.34M,41.88,"Jul 27, 1970",Yes / Yes,2.54% 0.40%,"

","2,159,008",-0.07%,SMTC
NuScale Power Corporation,Industrials,Specialty Industrial Machinery,USA,NYSE,RUT,-,-1.37,10.59%,133.03M,-7.88%,10.58B,-,-0.27,-3.45%,119.26M,58.43%,9.88B,-,-0.11,53.89%,20.75%,104.40%,-134.06M,215.73,78.96%,8.22%,2.29,71.27%,49.04M,7.03,11.92%,-31.62%,24.74M,107.47%,5.29,20.09,55.11%,-32.34%,6.88,45.31,337.65%,1.85,-,25.65% -34.24%,-19.04%,-17.90%,281.54%,-,-,134.79% -,76.67%,440.70%,-,-,201.44,-62.81%,-265.25%,7.46%,8.04%,-,-,6.23,162.48%,-273.35%,60.42,1.90,- -,6.23,47.31%,6.21%,2.02,31.66,-,0.00,869.91%,50.38%,1.13,39.16,484,0.00,May 12 AMC,83.85%,10.82M,37.20,"Dec 09, 2020",Yes / Yes,16.48% 310.75%,"

","12,218,111",-5.01%,SMR
Simply Good Foods Co,Consumer Defensive,Packaged Foods,USA,NASD,RUT,22.52,1.43,8.44%,101.05M,-2.39%,3.26B,15.46,2.09,-0.06%,92.49M,-10.87%,3.49B,3.02,0.50,95.34%,4.98%,-3.09%,145.49M,2.31,6.25%,0.88%,4.55,-19.07%,1.41B,1.80,7.44%,6.36%,4.60M,-17.16%,17.99,31.46,7.45%,8.40%,31.25,40.53,-10.53%,1.03,18.37,48.52% -,6.77%,-20.32%,-13.04%,-,13.16,9.80% 20.51%,37.09%,3.33%,89.94%,-,2.47,8.25%,16.88%,1.49%,1.43%,-,-,2.70,11.47%,10.31%,35.26,2.08,- -,4.27,10.37%,-4.09%,0.72,40.27,0.00%,0.18,15.20%,-8.22%,0.92,32.79,316,0.18,Jul 10 BMO,-9.73%,1.01M,32.29,"Jul 10, 2017",Yes / Yes,14.68% 1.43%,"

","928,376",-1.52%,SMPL
Summit Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.33,84.99%,741.61M,1.98%,15.27B,-,-0.54,0.00%,111.44M,-15.70%,14.91B,-,-0.09,13.17%,21.93%,5.76%,-240.75M,-,-30.60%,5.65%,5.20,10.06%,0.00M,44.28,-32.33%,-85.89%,24.44M,15.21%,0.46,42.22,-23.20%,-123.93%,6.78,36.91,160.25%,0.49,-,31.56% -10.52%,-69.33%,-44.30%,2082.13%,-,-,- -,-,203.24%,487.43%,-,-,-99.70%,-,1.08%,9.68%,88.11%,-,10.63,-100.00%,-,45.81,1.33,- -,10.63,-37.64%,-4.29%,-1.05,34.10,-,0.02,-,-12.77%,0.64,20.16,159,0.01,May 01 AMC,-1.34%,4.70M,20.56,"Mar 05, 2015",Yes / Yes,3.23% -,"

","2,997,883",1.98%,SMMT
Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,USA,NYSE,-,123.52,0.50,24.10%,57.70M,-2.95%,3.57B,14.45,4.28,-1.75%,43.80M,-1.59%,6.38B,3.98,2.25,73.60%,9.22%,4.28%,36.10M,1.03,53.26%,-0.67%,2.91,-15.49%,3.45B,-,22.00%,0.97%,4.04M,-6.75%,-5.03,211.26,31.00%,-,45.61,93.90,-3.96%,0.29,9.35,- -,1.50%,-34.12%,-27.50%,2.70 (4.36%),11.71,-10.32% 2.40%,28.39%,35.63%,-51.46%,2.64 (4.27%),1.85,109.68%,12.02%,2.10%,3.13%,5.98%,"May 23, 2025",0.94,0.75%,1.04%,53.19,1.78,1.56% 3.43%,1.71,35.73%,0.59%,1.98,68.67,-,-,-6.84%,7.47%,1.06,60.85,5300,-,Apr 30 BMO,-9.09%,1.39M,61.86,"Jan 31, 1992",Yes / Yes,1.52% -4.87%,"

","1,466,111",1.66%,SMG
Sumitomo Mitsui Financial Group Inc ADR,Financial,Banks - Diversified,Japan,NYSE,-,12.55,1.18,0.05%,6.46B,-2.04%,95.88B,11.36,1.31,0.00%,6.45B,0.95%,-,1.06,0.29,1.82%,0.05%,-8.67%,7.73B,1.53,16.08%,0.84%,1.46,1.30%,62.50B,0.98,8.96%,0.39%,3.06M,2.48%,15.23,-,11.79%,7.92%,10.74,16.74,17.58%,-,-,8.96% 4.74%,3.50%,-11.29%,152.12%,0.47 (3.19%),-,22.09% 9.52%,-,38.27%,153.85%,0.24 (1.62%),-,18.40%,17.16%,0.40%,1.11%,65.74%,"Sep 30, 2024",-,0.23%,12.36%,48.24,1.85,- -,0.70,-75.46%,-1.91%,0.44,15.31,28.93%,4.19,-9.44%,3.03%,0.63,14.94,122978,1.24,May 14 AMC,4.28%,2.10M,14.85,"May 01, 2003",Yes / Yes,-66.04% 209.93%,"

","1,325,253",-0.60%,SMFG
Super Micro Computer Inc,Technology,Computer Hardware,USA,NASD,S&P 500,25.01,1.81,14.15%,596.77M,4.52%,27.05B,15.62,2.90,-1.49%,512.39M,5.96%,27.16B,1.12,0.45,51.14%,18.85%,15.91%,1.21B,1.26,-4.80%,-0.46%,2.02,35.53%,21.52B,4.24,37.99%,12.31%,96.56M,48.69%,10.69,10.65,22.31%,21.03%,17.25,101.40,-48.93%,4.26,760.20,109.28% 68.98%,13.48%,-55.31%,876.30%,-,19.13,61.52% 33.76%,11.53%,162.72%,1348.39%,-,1.26,6.35%,6.36%,2.66%,3.29%,1235.69%,-,3.95,82.10%,5.61%,60.85,2.47,- -,6.66,-73.30%,6.92%,1.40,40.69,0.00%,0.42,19.48%,18.24%,1.07,44.47,5684,0.40,May 06 AMC,19.51%,47.91M,45.32,"Mar 29, 2007",Yes / Yes,-24.46% -8.10%,"

","51,275,663",1.91%,SMCI
Smartstop Self Storage REIT Inc,Real Estate,REIT - Industrial,USA,NYSE,-,-,-0.43,6.22%,31.05M,0.80%,311.20M,62.68,0.58,6.32%,31.03M,-0.35%,1.96B,-,-0.01,17.47%,4.45%,-,-22.59M,1.27,105.98%,8.78%,1.78,-,245.41M,5.50,1181.14%,-0.47%,1.38M,11.51%,6.64,7.80,-,-1.56%,29.89,37.74,-,4.68,5.13,0.33% 2.89%,-1.26%,-3.23%,-,1.59 (4.36%),15.27,11.98% 16.69%,41.42%,22.18%,-,0.27 (0.73%),7.98,-,28.18%,2.00%,1.16%,-,"Jun 30, 2025",0.77,5.37%,-9.20%,53.47,1.09,- -,0.77,-65.80%,-0.05%,-,40.14,-,2.49,14.74%,3.21%,5.46,36.31,560,2.18,May 07 AMC,4.00%,775.72K,36.52,"Apr 02, 2025",No / Yes,-14.38% 4.67%,"

","4,232,052",0.58%,SMA
SM Energy Co,Energy,Oil & Gas E&P,USA,NYSE,RUT,3.86,7.13,1.59%,114.46M,1.58%,3.15B,4.92,5.60,0.37%,112.65M,16.14%,5.90B,2.95,1.26,102.30%,8.09%,-10.90%,821.36M,1.06,-15.91%,0.86%,3.53,-30.03%,2.97B,0.72,-2.11%,10.82%,9.12M,-28.90%,38.47,63091.60,1.31%,20.28%,19.67,50.20,-40.44%,0.00,-,183.41% -,11.49%,-45.10%,-43.39%,0.80 (2.90%),2.91,0.85% 11.10%,43.02%,40.11%,469.42%,0.78 (2.83%),1.98,11.96%,37.40%,1.13%,2.35%,-40.35%,"Apr 17, 2025",0.57,26.04%,27.61%,63.64,2.06,236.20% 50.02%,0.57,40.75%,8.53%,2.19,39.93,11.40%,0.62,50.85%,14.79%,1.43,27.55,663,0.62,May 01 AMC,-21.42%,2.59M,27.56,"Dec 16, 1992",Yes / Yes,8.46% 1.56%,"

","3,689,768",0.04%,SM
Sylvamo Corp,Basic Materials,Paper & Paper Products,USA,NYSE,RUT,7.34,6.83,17.24%,40.70M,-4.88%,2.04B,6.95,7.21,-1.22%,33.70M,-12.98%,2.77B,-,0.49,79.63%,1.92%,-23.81%,286.00M,0.55,-24.98%,1.56%,1.74,-43.11%,3.69B,2.25,29.58%,10.54%,0.65M,-36.55%,22.31,13.26,-,31.83%,50.01,98.02,-28.25%,3.78,7.98,-1.49% -3.40%,16.38%,-48.85%,20.78%,1.85 (3.69%),4.90,10.09% -1.25%,20.33%,0.26%,-,1.80 (3.59%),0.75,46.54%,11.36%,1.36%,1.74%,-,"Jul 08, 2025",1.04,0.11%,7.75%,32.27,2.67,- -,1.64,-36.30%,-5.38%,0.93,69.33,22.95%,0.97,-9.28%,-10.97%,2.22,50.18,6500,0.92,May 09 BMO,-31.64%,372.39K,50.14,"Sep 23, 2021",Yes / Yes,-0.98% 0.62%,"

","826,525",-0.08%,SLVM
Soleno Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.62,17.15%,48.53M,-0.27%,4.03B,83.20,0.96,-25.65%,41.75M,6.57%,3.79B,-,-0.81,94.85%,9.55%,65.25%,-198.22M,-,36.36%,9.51%,3.00,66.87%,0.00M,16.71,134.48%,-81.42%,3.99M,77.93%,4.79,13.90,-,-105.54%,36.93,81.54,88.23%,5.75,-,9.02% 20.19%,-69.69%,-1.91%,2857.29%,-,-,- -,-,116.57%,172.04%,-,-,-72.19%,-,1.59%,1.94%,-72.59%,-,19.64,-,-,60.77,1.12,- -,19.64,-60.39%,3.62%,-2.67,111.00,-,0.23,-,7.27%,1.74,79.38,92,0.22,May 07 AMC,40.61%,1.33M,79.98,"Nov 13, 2014",Yes / Yes,2.06% -,"

","2,308,754",0.76%,SLNO
SLM Corp,Financial,Credit Services,USA,NASD,-,11.37,2.78,1.30%,210.74M,-0.16%,6.63B,9.12,3.46,-3.08%,207.12M,-6.01%,9.15B,0.88,0.52,102.43%,2.87%,5.72%,605.34M,2.18,15.91%,0.45%,2.30,13.80%,3.05B,3.10,11.52%,2.18%,5.94M,14.50%,10.20,1.71,12.86%,27.60%,19.39,34.54,54.50%,18.45,-,-9.44% 15.53%,7.08%,-8.58%,85.87%,0.51 (1.61%),5.84,8.59% 4.97%,70.88%,62.87%,294.75%,0.50 (1.58%),3.00,-12.72%,36.98%,1.75%,1.49%,208.10%,"Jun 05, 2025",-,-0.70%,19.87%,47.89,1.45,32.00% 30.83%,-,9.71%,-2.20%,1.12,34.73,17.15%,2.56,2.10%,2.58%,1.96,31.70,1710,2.56,Apr 24 AMC,15.51%,2.58M,31.58,"Sep 23, 1983",Yes / Yes,18.05% 3.69%,"

","5,046,137",-0.38%,SLM
Silgan Holdings Inc,Consumer Cyclical,Packaging & Containers,USA,NYSE,-,19.99,2.70,17.63%,106.99M,-2.19%,5.77B,12.04,4.48,-1.25%,88.13M,-3.94%,10.05B,2.06,1.03,76.73%,2.44%,7.13%,289.21M,0.96,13.69%,0.72%,2.84,-0.44%,6.00B,2.77,8.83%,3.54%,2.15M,3.63%,19.47,16.35,9.71%,14.52%,41.14,58.14,22.59%,3.30,18.27,-7.22% 8.22%,5.20%,-7.22%,28.46%,0.76 (1.41%),11.21,1.03% 5.45%,17.63%,31.11%,72.66%,0.78 (1.45%),1.67,-5.30%,10.12%,1.05%,1.23%,98.38%,"Jun 02, 2025",0.67,1.99%,4.82%,48.86,1.36,10.72% 11.55%,1.14,22.88%,-0.90%,0.76,62.80,29.46%,2.22,11.36%,1.44%,0.87,53.70,17315,1.67,Apr 30 BMO,2.47%,757.77K,53.94,"Feb 14, 1997",Yes / Yes,4.35% -0.54%,"

","662,173",0.45%,SLGN
SL Green Realty Corp,Real Estate,REIT - Office,USA,NYSE,RUT,-,-0.44,6.67%,71.02M,-2.16%,4.89B,-,-0.97,-0.07%,70.96M,10.38%,11.52B,-,-0.21,81.56%,7.85%,10.40%,-28.98M,5.07,-1330.73%,-2.51%,6.15,-14.61%,964.94M,1.35,1.85%,-0.05%,5.57M,-5.29%,47.54,14.51,-,-0.13%,45.15,82.81,12.98%,4.43,165.34,-77.28% -52.62%,-0.30%,-22.32%,30.91%,3.08 (4.78%),20.57,3.57% -5.79%,39.55%,42.48%,24.91%,3.04 (4.73%),11.94,94.75%,34.88%,1.43%,1.71%,-44.06%,"Jun 30, 2025",1.00,14.28%,-3.00%,63.27,2.65,-7.15% -3.73%,1.00,-267.90%,4.58%,1.64,63.81,3826.34%,1.52,22.35%,12.33%,1.22,64.75,1221,1.41,Jul 16 AMC,-1.49%,906.12K,64.33,"Aug 15, 1997",Yes / Yes,32.81% -1.62%,"

","1,104,604",-0.65%,SLG
"Sun Life Financial, Inc",Financial,Insurance - Diversified,Canada,NYSE,-,16.28,3.94,0.04%,567.60M,-1.35%,36.24B,11.27,5.69,0.00%,565.20M,0.99%,-,1.75,1.29,49.19%,1.55%,13.07%,2.28B,1.14,12.57%,-0.03%,14.57,6.74%,31.79B,2.26,7.87%,0.91%,8.78M,8.02%,28.37,-,9.29%,13.18%,46.41,65.56,33.96%,-,4.26,-10.54% 2.89%,10.31%,-2.23%,39.99%,2.54 (3.96%),-,0.42% -1.20%,-,38.12%,74.55%,2.43 (3.79%),-,0.58%,11.39%,0.55%,0.61%,87.17%,"May 28, 2025",-,-1.76%,7.16%,55.45,1.87,8.80% 8.45%,0.90,9.20%,-0.61%,0.89,65.17,61.53%,0.25,25.18%,4.31%,0.89,64.07,31768,0.25,May 08 AMC,9.28%,602.94K,64.10,"Mar 23, 2000",Yes / Yes,7.23% -,"

","536,560",0.05%,SLF
